0; Begründung löschen keine Verspätungsbegründung;
2; BPOL/Polizei Polizeiliche Ermittlung;
3;  Feuer Feuerwehreinsatz an der Strecke;
4; Personalausfall kurzfristiger Personalausfall;
5; Notarzt am Zug ärztliche Versorgung eines Fahrgastes;
6; Notbremse Betätigen der Notbremse;
7; Personen im Gl. Personen im Gleis;
8; Personenunfall Notarzteinsatz am Gleis;
9; Streik Streikauswirkungen;
10; Tiere Tiere im Gleis;
11; Unwetter Unwetter;
12; Anschluss Schiff Warten auf ein verspätetes Schiff;
13; Zoll Pass- und Zollkontrolle;
14; Technische Störung am Bahnhof Technische Störung am Bahnhof;
15; Vandalismus Beeinträchtigung durch Vandalismus;
16; Fliegerbombe Entschärfung einer Fliegerbombe;
17; Brückenbeschäd. Beschädigung einer Brücke;
18; Baum im Gleis umgestürzter Baum im Gleis;
19; BÜ-Unfall Unfall an einem Bahnübergang;
20; Tiere(Wild) im Gleis Tiere im Gleis;
21; Anschluss Zug Warten auf Fahrgäste aus einem anderen Zug;
22; Wetter Witterungsbedingte Störung;
23; Feuer Bahngelände Feuerwehreinsatz auf Bahngelände;
24; Ausland Verspätung im Ausland;
25; Flügel/Kurswagen Warten auf weitere Wagen;
28; Gegenst. im Gl. Gegenstände im Gleis;
29; Ersatzverkehr Ersatzverkehr mit Bus ist eingerichtet;
31; Bauarbeiten Bauarbeiten;
32; Haltezeit Verzögerung beim Ein-/Ausstieg;
33; Oberleitung Oberleitungsstörung;
34; Signalstörung Signalstörung;
35; Streckensperrung Streckensperrung;
36; techn. Stör. Zug technische Störung am Zug;
38; techn. Stör.Strecke technische Störung an der Strecke;
39; Zusatzwagen Anhängen von zusätzlichen Wagen;
40; Stellwerk Stellwerksstörung /-ausfall;
41; BÜ-Störung Störung an einem Bahnübergang;
42; La-Stelle/EBA außerplanmäßige Geschwindigkeitsbeschränkung;
43; Zugfolge/Abstand Verspätung eines vorausfahrenden Zuges;
44; Kreuzung Warten auf einen entgegenkommenden Zug;
45; Überholung Überholung;
46; besetzte Gleise Warten auf freie Einfahrt;
47; Bereitstellung verspätete Bereitstellung des Zuges;
48; Wende/Vorleistung Verspätung aus vorheriger Fahrt;
55; techn. Stör. Folge technische Störung an einem anderen Zug;
56; Anschluss Bus Warten auf Fahrgäste aus einem Bus;
57; Zus. Halt Zusätzlicher Halt zum Ein-/Ausstieg für ;eisende
58; Umleitung Umleitung des Zuges;
59; Schnee und Eis Schnee und Eis;
60; Geschw./Sturm ;eduzierte Geschwindigkeit wegen Sturm
61; Türstörung Türstörung;
62; Stör. Zug behoben behobene technische Störung am Zug;
63; techn. Untersuchung technische Untersuchung am Zug;
64; Weichenstörung Weichenstörung;
65; Erdrutsch Erdrutsch;
66; Hochwasser Hochwasser;
70; WLAN Zug (q) WLAN im gesamten Zug nicht verfügbar;
71; WLAN Wagen (q) WLAN in einem/mehreren Wagen nicht verfügbar;
72; Info-/Entertainment (q) Info-/Entertainment nicht verfügbar;
73;: Mehrzweck vorn (q) Heute: Mehrzweckabteil vorne;
74;: Mehrzweck hinten (q) Heute: Mehrzweckabteil hinten;
75;: 1 Kl. vorn (q) Heute: 1. Klasse vorne;
76;: 1 Kl. hinten (q) Heute: 1. Klasse hinten;
77; ohne 1. Kl. (q) ohne 1. Klasse;
79;: ohne Mehrzweck (q) ohne Mehrzweckabteil;
80;Abw. Reihung (q) andere Reihenfolge der Wagen;
82; Wagen fehlen (q) mehrere Wagen fehlen;
83;M-Einstiegshilfe Störung fahrzeuggebundene Einstiegshilfe;
84;Reihung ok (q) Zug verkehrt richtig gereiht;
85; Wagen fehlt (q) ein Wagen fehlt;
86;RES: Zug (q) gesamter Zug ohne Reservierung;
87;RES: Wagen (q) einzelne Wagen ohne Reservierung;
88; Qualität ok (q) keine Qualitätsmängel;
89;RES: ok (q) Reservierungen sind wieder vorhanden;
90; Bewirtschaftung fehlt (q) kein gastronomisches Angebot;
91; fehlende Fahrradbef. (q) fehlende Fahrradbeförderung;
92; eingeschr. Fahrradbef. (q) Eingeschränkte Fahrradbeförderung;
93;PRM-Einrichtung (q) keine behindertengerechte Einrichtung;
95;PRM-WC (q) Ohne behindertengerechtes WC;
96; Überbesetzung Kulanz Überbesetzung mit Kulanzleistungen;
97; Überbes. ohne Kulanz Überbesetzung ohne Kulanzleistungen;
98; sonstige Q-Mängel sonstige Qualitätsmängel;
99; Sonstige Gründe Verzögerungen im Betriebsablauf;
